trecho,subsegmento,cidade,km_ini,km_final,pista,nivel
1,1,Juatuba,57.55,58.30,Duplicada,A
1,2,Juatuba,58.30,59.57,Duplicada,A
1,3,Juatuba,59.57,60.59,Duplicada,A
1,4,Juatuba,60.59,61.37,Duplicada,A
1,5,Mateus Leme,61.37,63.79,Duplicada,A
1,6,Mateus Leme,63.79,66.79,Duplicada,A
1,7,Mateus Leme,66.79,67.52,Simples,E
1,8,Mateus Leme,67.52,68.30,Simples,E
1,9,Mateus Leme,68.30,69.41,Simples,E
2,10,Mateus Leme,69.41,70.16,Simples,D
2,11,Mateus Leme,70.16,70.76,Simples,C
2,12,Mateus Leme,70.76,71.87,Simples,D
2,13,Mateus Leme,71.87,72.66,Simples,D
2,14,Mateus Leme,72.66,73.23,Simples,C
2,15,Mateus Leme,73.23,73.68,Simples,D
2,16,Mateus Leme,73.68,75.76,Simples,D
2,17,Mateus Leme,75.76,76.27,Simples,C
2,18,Itaúna,76.27,76.90,Simples,D
2,19,Itaúna,76.90,79.11,Simples,D
2,20,Itaúna,79.11,80.02,Simples,D
3,21,Itaúna,80.02,81.21,Simples,D
3,22,Itaúna,81.21,82.93,Simples,D
3,23,Itaúna,82.93,83.44,Simples,C
3,24,Itaúna,83.44,84.14,Simples,D
3,25,Itaúna,84.14,84.34,Simples,D
3,26,Itaúna,84.34,85.09,Simples,D
3,27,Itaúna,85.09,85.83,Simples,B
3,28,Itaúna,85.83,86.51,Simples,D
4,29,Itaúna,86.51,88.05,Simples,D
4,30,Itaúna,88.05,89.22,Simples,E
4,31,Itaúna,89.22,92.22,Simples,D
5,32,Itaúna,92.22,94.94,Simples,D
5,33,Itaúna,94.94,95.85,Simples,D
5,34,Itaúna,95.85,96.59,Simples,D
5,35,Itaúna,96.59,98.76,Simples,D
5,36,Itaúna,98.76,99.52,Simples,D
5,37,Itaúna,99.52,101.21,Simples,D
5,38,Itaúna,101.21,102.16,Simples,D
5,39,Itaúna,102.16,102.78,Simples,C
5,40,Itaúna,102.78,103.31,Simples,D
5,41,Igaratinga,103.31,106.23,Simples,D
5,42,Carmo do Cajuru,106.23,109.75,Simples,D
5,43,Carmo do Cajuru,109.75,110.58,Simples,D
5,44,Carmo do Cajuru,110.58,111.47,Simples,D
5,45,Carmo do Cajuru,111.47,112.23,Simples,D
5,46,Carmo do Cajuru,112.23,113.28,Simples,D
5,47,Carmo do Cajuru,113.28,114.60,Simples,D
5,48,Carmo do Cajuru,114.60,118.32,Simples,D
5,49,Divinópolis,118.32,120.13,Simples,D
5,50,Divinópolis,120.13,122.54,Simples,C
5,51,Divinópolis,122.54,123.05,Duplicada,A
5,52,Divinópolis,123.05,124.44,Simples,D
5,53,Divinópolis,124.44,126.04,Simples,D
6,54,Divinópolis,126.04,127.23,Simples,D
6,55,Divinópolis,127.23,128.80,Duplicada,A
6,56,Divinópolis,128.80,129.73,Simples,D
6,57,Divinópolis,129.73,130.50,Simples,D
6,58,Divinópolis,130.50,130.86,Duplicada,A
6,59,Divinópolis,130.86,131.39,Simples,D
6,60,Divinópolis,131.39,132.01,Simples,D
7,61,Divinópolis,132.01,133.29,Simples,C
7,62,Divinópolis,133.29,134.13,Simples,C
7,63,Divinópolis,134.13,135.42,Simples,D
7,64,Divinópolis,135.42,137.07,Simples,C
7,65,Divinópolis,137.07,138.00,Simples,D
7,66,Divinópolis,138.00,139.02,Simples,D
7,67,Divinópolis,139.02,139.90,Simples,D
7,68,Divinópolis,139.90,140.52,Simples,E
7,69,São Sebastião do Oeste,140.52,142.88,Simples,D
7,70,São Sebastião do Oeste,142.88,143.73,Simples,C
