trecho,subsegmento,cidade,km_ini,km_final,pista,nivel
1,1,Juatuba,57.56,58.30,Duplicada,A
1,2,Juatuba,58.30,59.57,Duplicada,A
1,3,Juatuba,59.57,60.59,Duplicada,A
1,4,Juatuba,60.59,61.37,Duplicada,A
1,5,Juatuba,61.37,63.79,Duplicada,A
1,6,Mateus Leme,63.79,66.79,Duplicada,A
1,7,Mateus Leme,66.79,67.52,Simples,E
1,8,Mateus Leme,67.52,69.41,Simples,D
2,9,Mateus Leme,69.41,69.90,Simples,B
2,10,Mateus Leme,69.90,70.58,Simples,D
2,11,Mateus Leme,70.58,71.84,Simples,D
2,12,Mateus Leme,71.84,73.18,Simples,D
2,13,Mateus Leme,73.18,73.68,Simples,E
2,14,Mateus Leme,73.68,79.62,Simples,D
2,15,Itaúna,79.62,80.02,Simples,B
3,16,Itaúna,80.02,81.34,Simples,C
3,17,Itaúna,81.34,82.10,Simples,C
3,18,Itaúna,82.10,83.70,Simples,D
3,19,Itaúna,83.70,85.01,Simples,D
3,20,Itaúna,85.01,85.83,Simples,D
3,21,Itaúna,85.83,86.27,Simples,A
3,22,Itaúna,86.27,86.51,Simples,E
4,23,Itaúna,86.51,89.22,Simples,D
4,24,Itaúna,89.22,92.22,Simples,E
5,25,Itaúna,92.22,94.94,Simples,D
5,26,Itaúna,94.94,95.85,Simples,D
5,27,Itaúna,95.85,96.59,Simples,C
5,28,Itaúna,96.59,97.91,Simples,D
5,29,Itaúna,97.91,104.15,Simples,C
5,30,Igaratinga,104.15,106.23,Simples,E
5,31,Carmo do Cajuru,106.23,109.30,Simples,D
5,32,Carmo do Cajuru,109.30,109.75,Simples,E
5,33,Carmo do Cajuru,109.75,110.58,Simples,D
5,34,Carmo do Cajuru,110.58,111.39,Simples,D
5,35,Carmo do Cajuru,111.39,112.23,Simples,E
5,36,Carmo do Cajuru,112.23,115.54,Simples,D
5,37,São Gonçalo do Pará,115.54,116.97,Simples,E
5,38,Carmo do Cajuru,116.97,118.32,Simples,E
5,39,Carmo do Cajuru,118.32,120.13,Simples,E
5,40,Divinópolis,120.13,122.54,Simples,E
5,41,Divinópolis,122.54,123.05,Duplicada,A
5,42,Divinópolis,123.05,124.44,Simples,E
5,43,Divinópolis,124.44,125.16,Simples,D
5,44,Divinópolis,125.16,126.04,Simples,E
6,45,Divinópolis,126.04,127.23,Simples,D
6,46,Divinópolis,127.23,128.80,Duplicada,A
6,47,Divinópolis,128.80,129.16,Simples,D
6,48,Divinópolis,129.16,129.73,Simples,D
6,49,Divinópolis,129.73,130.50,Simples,D
6,50,Divinópolis,130.50,130.86,Duplicada,A
6,51,Divinópolis,130.86,132.01,Simples,D
7,52,Divinópolis,132.01,134.18,Simples,C
7,53,Divinópolis,134.18,135.48,Simples,D
7,54,Divinópolis,135.48,137.19,Simples,C
7,55,Divinópolis,137.19,138.00,Simples,D
7,56,Divinópolis,138.00,138.97,Simples,C
7,57,Divinópolis,138.97,139.90,Simples,D
7,58,Divinópolis,139.90,143.73,Simples,D
8,59,São Sebastião do Oeste,143.73,144.49,Simples,C
8,60,São Sebastião do Oeste,144.49,145.91,Simples,E
8,61,São Sebastião do Oeste,145.91,148.15,Simples,C
8,62,São Sebastião do Oeste,148.15,149.94,Simples,E
8,63,São Sebastião do Oeste,149.94,155.95,Simples,D
8,64,Pedra do Indaiá,155.95,157.73,Simples,C
8,65,Pedra do Indaiá,157.73,158.49,Simples,D
8,66,Pedra do Indaiá,158.49,160.41,Simples,C
8,67,Pedra do Indaiá,160.41,161.18,Simples,D
8,68,Pedra do Indaiá,161.18,162.69,Simples,C
8,69,Pedra do Indaiá,162.69,164.83,Simples,D
9,70,Pedra do Indaiá,164.83,166.77,Simples,D
9,71,Pedra do Indaiá,166.77,167.87,Simples,E
9,72,Pedra do Indaiá,167.87,169.11,Simples,D
9,73,Pedra do Indaiá,169.11,169.92,Simples,D
9,74,Pedra do Indaiá,169.92,183.24,Simples,D
9,75,Pedra do Indaiá,183.24,185.36,Simples,E
9,76,Formiga,185.36,187.14,Simples,C
9,77,Formiga,187.14,188.03,Simples,D
9,78,Formiga,188.03,190.99,Simples,E
9,79,Formiga,190.99,191.97,Simples,D
9,80,Formiga,191.97,192.81,Simples,D
9,81,Formiga,192.81,194.09,Simples,D
9,82,Formiga,194.09,195.69,Simples,E
9,83,Formiga,195.69,198.79,Simples,D
9,84,Formiga,198.79,200.44,Simples,E
9,85,Formiga,200.44,201.87,Duplicada,A
9,86,Formiga,201.87,202.56,Simples,E
9,87,Formiga,202.56,202.79,Simples,C
9,88,Formiga,202.79,203.53,Simples,E
9,89,Formiga,203.53,206.39,Simples,D
9,90,Córrego Fundo,206.39,207.65,Simples,E
9,91,Córrego Fundo,207.65,210.04,Simples,D
9,92,Córrego Fundo,210.04,212.14,Simples,F
9,93,Córrego Fundo,212.14,212.82,Simples,C
10,94,Córrego Fundo,212.82,215.52,Simples,C
10,95,Córrego Fundo,215.52,216.95,Simples,D
10,96,Córrego Fundo,216.95,219.87,Simples,C
10,97,Formiga,219.87,222.17,Simples,D
10,98,Formiga,222.17,223.65,Simples,C
10,99,Formiga,223.65,224.39,Simples,C
10,100,Formiga,224.39,226.35,Simples,C
10,101,Formiga,226.35,227.29,Simples,D
10,102,Formiga,227.29,234.61,Simples,C
10,103,Pains,234.61,235.46,Simples,C
10,104,Pimenta,235.46,236.17,Simples,C
10,105,Pimenta,236.17,236.98,Simples,C
10,106,Pimenta,236.98,240.29,Simples,C
10,107,Pimenta,240.29,241.35,Simples,C
10,108,Pimenta,241.35,243.07,Simples,C
10,109,Pimenta,243.07,244.44,Simples,C
10,110,Pimenta,244.44,245.29,Simples,C
10,111,Pimenta,245.29,247.87,Simples,C
10,112,Pimenta,247.87,249.11,Simples,C
10,113,Pimenta,249.11,252.55,Simples,D
10,114,Piumhí,252.55,254.59,Simples,C
10,115,Piumhí,254.59,258.27,Simples,D
10,116,Piumhí,258.27,260.05,Simples,D
10,117,Piumhí,260.05,261.63,Simples,D
11,118,Piumhí,261.63,262.17,Simples,C
11,119,Piumhí,262.17,263.73,Simples,E
11,120,Piumhí,263.73,264.60,Simples,E
11,121,Piumhí,264.60,265.54,Simples,D
11,122,Piumhí,265.54,266.87,Simples,D
11,123,Piumhí,266.87,267.60,Simples,C
11,124,Piumhí,267.60,269.13,Simples,C
11,125,Piumhí,269.13,270.55,Simples,D
11,126,Piumhí,270.55,272.56,Simples,D
11,127,Piumhí,272.56,273.29,Simples,C
11,128,Piumhí,273.29,274.38,Simples,D
11,129,Piumhí,274.38,275.52,Simples,D
